application_id,customer_id,requested_amount,tenure_months,purpose,submitted_at,channel
APP200000,CUS100000,215000,24,EDUCATION,2026-10-23 17:28:00,MOBILE
APP200001,CUS100001,871000,36,MEDICAL,2026-06-11 03:22:00,MOBILE
APP200002,CUS100002,281000,36,HOME_RENOVATION,2026-01-27 11:03:00,WEB
APP200003,CUS100003,341000,60,DEBT_CONSOLIDATION,2026-08-29 20:16:00,MOBILE
APP200004,CUS100004,372000,36,TRAVEL,2026-11-12 00:49:00,MOBILE
APP200005,CUS100005,338000,36,MEDICAL,2026-05-31 19:56:00,WEB
APP200006,CUS100006,588000,18,MEDICAL,2026-12-16 16:28:00,MOBILE
APP200007,CUS100007,509000,36,TRAVEL,2026-11-28 03:04:00,MOBILE
APP200008,CUS100008,251000,24,DEBT_CONSOLIDATION,2026-04-13 13:33:00,WEB
APP200009,CUS100009,660000,48,OTHER,2026-12-11 19:56:00,WEB
APP200010,CUS100010,164000,18,TRAVEL,2026-09-20 10:46:00,MOBILE
APP200011,CUS100011,304000,48,OTHER,2026-10-16 02:51:00,MOBILE
APP200012,CUS100012,829000,36,OTHER,2026-09-07 01:49:00,WEB
APP200013,CUS100013,298000,24,TRAVEL,2026-01-25 06:43:00,WEB
APP200014,CUS100014,622000,36,EDUCATION,2026-12-23 21:31:00,MOBILE
APP200015,CUS100015,413000,36,MEDICAL,2026-04-18 20:02:00,MOBILE
APP200016,CUS100016,263000,12,DEBT_CONSOLIDATION,2026-03-02 23:02:00,MOBILE
APP200017,CUS100017,304000,12,MEDICAL,2026-11-15 00:45:00,MOBILE
APP200018,CUS100018,972000,24,MEDICAL,2026-08-29 19:18:00,MOBILE
APP200019,CUS100019,218000,36,DEBT_CONSOLIDATION,2026-05-03 08:52:00,MOBILE
APP200020,CUS100020,817000,36,MEDICAL,2026-06-20 15:22:00,WEB
APP200021,CUS100021,390000,36,HOME_RENOVATION,2026-12-08 21:12:00,MOBILE
APP200022,CUS100022,294000,36,EDUCATION,2026-08-02 12:14:00,MOBILE
APP200023,CUS100023,489000,18,EDUCATION,2026-05-18 08:42:00,MOBILE
APP200024,CUS100024,283000,24,MEDICAL,2026-12-25 01:35:00,WEB
APP200025,CUS100025,317000,60,MEDICAL,2026-01-17 20:29:00,WEB
APP200026,CUS100026,613000,36,HOME_RENOVATION,2026-06-03 14:57:00,MOBILE
APP200027,CUS100027,397000,36,DEBT_CONSOLIDATION,2026-03-22 12:03:00,MOBILE
APP200028,CUS100028,437000,48,OTHER,2026-04-27 13:38:00,MOBILE
APP200029,CUS100029,480000,60,OTHER,2026-01-17 03:49:00,WEB
APP200030,CUS100030,646000,60,OTHER,2026-07-12 21:13:00,MOBILE
APP200031,CUS100031,433000,36,DEBT_CONSOLIDATION,2026-01-15 20:03:00,MOBILE
APP200032,CUS100032,305000,48,TRAVEL,2026-05-27 05:05:00,MOBILE
APP200033,CUS100033,206000,48,DEBT_CONSOLIDATION,2026-11-11 07:38:00,WEB
APP200034,CUS100034,585000,36,EDUCATION,2026-11-18 23:17:00,MOBILE
APP200035,CUS100035,341000,48,TRAVEL,2026-10-22 09:19:00,MOBILE
APP200036,CUS100036,197000,36,TRAVEL,2026-09-20 19:41:00,MOBILE
APP200037,CUS100037,861000,36,HOME_RENOVATION,2026-11-18 10:41:00,MOBILE
APP200038,CUS100038,673000,24,DEBT_CONSOLIDATION,2026-02-01 17:49:00,MOBILE
APP200039,CUS100039,268000,18,EDUCATION,2026-08-24 18:42:00,MOBILE
APP200040,CUS100040,389000,60,DEBT_CONSOLIDATION,2026-04-25 08:42:00,MOBILE
APP200041,CUS100041,388000,48,EDUCATION,2026-01-17 06:00:00,WEB
APP200042,CUS100042,654000,24,OTHER,2026-03-02 20:09:00,MOBILE
APP200043,CUS100043,506000,12,MEDICAL,2026-01-29 21:59:00,MOBILE
APP200044,CUS100044,1026000,36,TRAVEL,2026-02-24 13:50:00,MOBILE
APP200045,CUS100045,857000,60,DEBT_CONSOLIDATION,2026-10-15 03:48:00,MOBILE
APP200046,CUS100046,149000,36,OTHER,2026-09-30 19:40:00,MOBILE
APP200047,CUS100047,266000,24,EDUCATION,2026-01-15 21:09:00,MOBILE
APP200048,CUS100048,236000,36,EDUCATION,2026-08-25 05:57:00,WEB
APP200049,CUS100049,880000,24,MEDICAL,2026-04-15 15:30:00,MOBILE
APP200050,CUS100050,173000,36,OTHER,2026-08-31 00:46:00,MOBILE
APP200051,CUS100051,144000,48,MEDICAL,2026-01-23 20:21:00,MOBILE
APP200052,CUS100052,445000,60,DEBT_CONSOLIDATION,2026-09-06 05:43:00,MOBILE
APP200053,CUS100053,350000,36,TRAVEL,2026-08-14 12:10:00,MOBILE
APP200054,CUS100054,330000,18,MEDICAL,2026-01-06 13:03:00,WEB
APP200055,CUS100055,342000,36,MEDICAL,2026-06-23 06:13:00,MOBILE
APP200056,CUS100056,363000,36,EDUCATION,2026-05-31 18:28:00,MOBILE
APP200057,CUS100057,293000,18,DEBT_CONSOLIDATION,2026-03-22 15:16:00,MOBILE
APP200058,CUS100058,163000,36,TRAVEL,2026-06-07 13:07:00,MOBILE
APP200059,CUS100059,333000,48,HOME_RENOVATION,2026-09-07 06:49:00,MOBILE
APP200060,CUS100060,691000,18,OTHER,2026-11-19 02:44:00,MOBILE
APP200061,CUS100061,384000,48,HOME_RENOVATION,2026-09-12 23:22:00,MOBILE
APP200062,CUS100062,542000,48,HOME_RENOVATION,2026-01-19 19:04:00,MOBILE
