customer_id,age,monthly_income,employment_tenure_months,relationship_months,bureau_score,active_loans,existing_monthly_emi,foir,employment_type
CUS100000,59,56800,78,106,704,0,6000,0.106,SALARIED
CUS100001,49,137800,96,46,791,1,5500,0.04,SALARIED
CUS100002,35,77400,15,75,824,0,15600,0.202,SALARIED
CUS100003,28,57500,27,42,739,0,16300,0.283,SALARIED
CUS100004,41,96100,111,50,787,1,10300,0.107,SALARIED
CUS100005,59,63800,32,64,706,0,4300,0.067,SALARIED
CUS100006,39,91400,73,114,767,2,5900,0.065,SALARIED
CUS100007,43,70600,47,57,830,2,15800,0.224,SALARIED
CUS100008,31,73400,73,21,850,2,12900,0.176,SALARIED
CUS100009,31,140100,22,81,701,1,33100,0.236,SALARIED
CUS100010,44,30000,62,98,816,0,6700,0.223,SALARIED
CUS100011,56,109100,46,55,683,0,34500,0.316,SALARIED
CUS100012,60,130100,35,51,701,0,16800,0.129,SALARIED
CUS100013,44,64200,51,68,711,1,7300,0.114,SALARIED
CUS100014,23,129600,20,157,785,1,14500,0.112,SALARIED
CUS100015,42,55200,47,51,741,3,1800,0.033,SALARIED
CUS100016,22,63200,100,132,656,1,21200,0.335,SALARIED
CUS100017,44,60000,12,71,762,1,18600,0.31,SALARIED
CUS100018,50,130400,38,65,809,0,33400,0.256,SALARIED
CUS100019,58,38800,46,22,743,2,19600,0.505,SALARIED
CUS100020,22,177800,38,94,784,0,46900,0.264,SALARIED
CUS100021,41,74100,40,28,693,0,12700,0.171,SALARIED
CUS100022,53,112100,65,104,788,1,9200,0.082,SALARIED
CUS100023,32,107800,15,56,696,1,40600,0.377,SALARIED
CUS100024,42,91000,85,31,742,2,8900,0.098,SALARIED
CUS100025,45,64900,5,172,687,2,14900,0.23,SALARIED
CUS100026,47,148700,48,133,671,0,30000,0.202,SALARIED
CUS100027,48,67400,88,136,678,3,33800,0.501,SALARIED
CUS100028,36,61200,52,51,712,2,10100,0.165,SALARIED
CUS100029,35,126200,6,180,743,2,26800,0.212,SALARIED
CUS100030,23,90800,67,67,691,1,21000,0.231,SALARIED
CUS100031,57,156600,80,37,850,3,32700,0.209,SALARIED
