application_id,routing_decision,routing_reason,human_review_required
APP200000,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200001,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200002,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200003,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200004,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200005,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200006,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200007,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200008,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200009,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200010,DECLINE,POLICY_FAILURE,False
APP200011,DECLINE,POLICY_FAILURE,False
APP200012,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200013,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200014,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200015,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200016,DECLINE,POLICY_FAILURE,False
APP200017,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200018,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200019,DECLINE,POLICY_FAILURE,False
APP200020,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200021,DECLINE,POLICY_FAILURE,False
APP200022,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200023,DECLINE,POLICY_FAILURE,False
APP200024,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200025,DECLINE,POLICY_FAILURE,False
APP200026,DECLINE,POLICY_FAILURE,False
APP200027,DECLINE,POLICY_FAILURE,False
APP200028,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200029,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200030,DECLINE,POLICY_FAILURE,False
APP200031,HUMAN_REVIEW,LOW_DOCUMENT_CONFIDENCE,True
APP200032,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200033,DECLINE,POLICY_FAILURE,False
APP200034,DECLINE,POLICY_FAILURE,False
APP200035,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200036,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200037,DECLINE,POLICY_FAILURE,False
APP200038,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200039,DECLINE,POLICY_FAILURE,False
APP200040,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200041,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200042,DECLINE,POLICY_FAILURE,False
APP200043,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200044,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200045,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200046,DECLINE,POLICY_FAILURE,False
APP200047,DECLINE,POLICY_FAILURE,False
APP200048,DECLINE,POLICY_FAILURE,False
APP200049,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200050,DECLINE,POLICY_FAILURE,False
APP200051,DECLINE,POLICY_FAILURE,False
APP200052,DECLINE,POLICY_FAILURE,False
APP200053,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200054,DECLINE,POLICY_FAILURE,False
APP200055,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200056,DECLINE,POLICY_FAILURE,False
APP200057,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200058,DECLINE,POLICY_FAILURE,False
APP200059,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200060,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200061,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200062,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200063,DECLINE,POLICY_FAILURE,False
APP200064,DECLINE,POLICY_FAILURE,False
APP200065,DECLINE,POLICY_FAILURE,False
APP200066,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200067,DECLINE,POLICY_FAILURE,False
APP200068,DECLINE,POLICY_FAILURE,False
APP200069,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200070,DECLINE,POLICY_FAILURE,False
APP200071,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200072,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200073,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200074,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200075,DECLINE,POLICY_FAILURE,False
APP200076,DECLINE,POLICY_FAILURE,False
APP200077,DECLINE,POLICY_FAILURE,False
APP200078,DECLINE,POLICY_FAILURE,False
APP200079,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200080,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200081,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200082,HUMAN_REVIEW,LOW_DOCUMENT_CONFIDENCE,True
APP200083,DECLINE,POLICY_FAILURE,False
APP200084,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200085,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200086,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200087,AUTO_APPROVE,STANDARD_STRAIGHT_THROUGH,False
APP200088,DECLINE,POLICY_FAILURE,False
