application_id,document_type,status,ocr_confidence,income_mismatch_ratio,name_match
APP200000,PAN,UPLOADED,0.999,0.0,True
APP200000,SALARY_SLIP,UPLOADED,0.91,0.013,True
APP200000,BANK_STATEMENT,UPLOADED,0.928,0.017,True
APP200001,PAN,UPLOADED,0.987,0.0,True
APP200001,SALARY_SLIP,UPLOADED,0.919,0.033,True
APP200001,BANK_STATEMENT,UPLOADED,0.913,0.176,True
APP200002,PAN,UPLOADED,0.975,0.0,True
APP200002,SALARY_SLIP,UPLOADED,0.972,0.06,True
APP200002,BANK_STATEMENT,UPLOADED,0.952,0.005,True
APP200003,PAN,UPLOADED,0.954,0.0,True
APP200003,SALARY_SLIP,UPLOADED,0.957,0.095,True
APP200003,BANK_STATEMENT,UPLOADED,0.99,0.246,True
APP200004,PAN,UPLOADED,0.969,0.0,True
APP200004,SALARY_SLIP,UPLOADED,0.971,0.002,True
APP200004,BANK_STATEMENT,UPLOADED,0.988,0.112,True
APP200005,PAN,UPLOADED,0.995,0.0,True
APP200005,SALARY_SLIP,UPLOADED,0.917,0.07,True
APP200005,BANK_STATEMENT,UPLOADED,0.999,0.052,True
APP200006,PAN,UPLOADED,0.999,0.0,True
APP200006,SALARY_SLIP,UPLOADED,0.977,0.087,True
APP200006,BANK_STATEMENT,UPLOADED,0.918,0.217,True
APP200007,PAN,UPLOADED,0.995,0.0,True
APP200007,SALARY_SLIP,UPLOADED,0.898,0.011,True
APP200007,BANK_STATEMENT,UPLOADED,0.88,0.041,True
APP200008,PAN,UPLOADED,0.987,0.0,True
APP200008,SALARY_SLIP,UPLOADED,0.972,0.062,True
APP200008,BANK_STATEMENT,UPLOADED,0.902,0.066,True
APP200009,PAN,UPLOADED,0.979,0.0,True
APP200009,SALARY_SLIP,UPLOADED,0.999,0.035,True
APP200009,BANK_STATEMENT,UPLOADED,0.891,0.063,True
APP200010,PAN,UPLOADED,0.984,0.0,True
APP200010,SALARY_SLIP,UPLOADED,0.958,0.029,True
APP200010,BANK_STATEMENT,UPLOADED,0.915,0.053,True
APP200011,PAN,UPLOADED,0.95,0.0,True
APP200011,SALARY_SLIP,UPLOADED,0.872,0.037,True
APP200011,BANK_STATEMENT,UPLOADED,0.941,0.22,True
APP200012,PAN,UPLOADED,0.948,0.0,True
APP200012,SALARY_SLIP,UPLOADED,0.929,0.073,True
APP200012,BANK_STATEMENT,UPLOADED,0.913,0.027,True
APP200013,PAN,UPLOADED,0.986,0.0,True
APP200013,SALARY_SLIP,UPLOADED,0.955,0.012,True
APP200013,BANK_STATEMENT,UPLOADED,0.823,0.01,True
APP200014,PAN,UPLOADED,0.97,0.0,True
APP200014,SALARY_SLIP,UPLOADED,0.999,0.026,True
APP200014,BANK_STATEMENT,UPLOADED,0.944,0.033,True
APP200015,PAN,UPLOADED,0.959,0.0,True
APP200015,SALARY_SLIP,UPLOADED,0.987,0.031,True
APP200015,BANK_STATEMENT,UPLOADED,0.923,0.157,True
APP200016,PAN,UPLOADED,0.973,0.0,True
APP200016,SALARY_SLIP,UPLOADED,0.951,0.049,True
APP200016,BANK_STATEMENT,UPLOADED,0.921,0.078,True
APP200017,PAN,UPLOADED,0.973,0.0,True
APP200017,SALARY_SLIP,UPLOADED,0.989,0.019,True
APP200017,BANK_STATEMENT,UPLOADED,0.885,0.066,True
APP200018,PAN,UPLOADED,0.975,0.0,True
APP200018,SALARY_SLIP,UPLOADED,0.969,0.058,True
APP200018,BANK_STATEMENT,UPLOADED,0.931,0.004,True
APP200019,PAN,UPLOADED,0.975,0.0,True
APP200019,SALARY_SLIP,UPLOADED,0.964,0.002,True
APP200019,BANK_STATEMENT,UPLOADED,0.959,0.078,True
APP200020,PAN,UPLOADED,0.952,0.0,True
APP200020,SALARY_SLIP,UPLOADED,0.951,0.056,True
APP200020,BANK_STATEMENT,UPLOADED,0.948,0.132,True
APP200021,PAN,UPLOADED,0.943,0.0,True
APP200021,SALARY_SLIP,UPLOADED,0.646,0.207,False
APP200021,BANK_STATEMENT,UPLOADED,0.69,0.247,True
APP200022,PAN,UPLOADED,0.995,0.0,True
APP200022,SALARY_SLIP,UPLOADED,0.999,0.034,True
APP200022,BANK_STATEMENT,UPLOADED,0.972,0.071,True
APP200023,PAN,UPLOADED,0.999,0.0,True
APP200023,SALARY_SLIP,UPLOADED,0.983,0.076,True
APP200023,BANK_STATEMENT,UPLOADED,0.938,0.046,True
APP200024,PAN,UPLOADED,0.94,0.0,True
APP200024,SALARY_SLIP,UPLOADED,0.999,0.064,True
APP200024,BANK_STATEMENT,UPLOADED,0.895,0.011,True
APP200025,PAN,UPLOADED,0.986,0.0,True
APP200025,SALARY_SLIP,UPLOADED,0.964,0.021,True
APP200025,BANK_STATEMENT,UPLOADED,0.862,0.078,True
APP200026,PAN,UPLOADED,0.968,0.0,True
APP200026,SALARY_SLIP,UPLOADED,0.935,0.056,True
APP200026,BANK_STATEMENT,UPLOADED,0.876,0.137,True
APP200027,PAN,UPLOADED,0.966,0.0,True
APP200027,SALARY_SLIP,UPLOADED,0.947,0.014,True
APP200027,BANK_STATEMENT,UPLOADED,0.999,0.012,True
APP200028,PAN,UPLOADED,0.987,0.0,True
APP200028,SALARY_SLIP,UPLOADED,0.972,0.005,True
APP200028,BANK_STATEMENT,UPLOADED,0.937,0.146,True
APP200029,PAN,UPLOADED,0.983,0.0,True
APP200029,SALARY_SLIP,UPLOADED,0.997,0.052,True
APP200029,BANK_STATEMENT,UPLOADED,0.959,0.1,True
APP200030,PAN,UPLOADED,0.943,0.0,True
APP200030,SALARY_SLIP,UPLOADED,0.892,0.067,True
APP200030,BANK_STATEMENT,UPLOADED,0.949,0.082,True
APP200031,PAN,UPLOADED,0.985,0.0,True
APP200031,SALARY_SLIP,UPLOADED,0.78,0.173,True
APP200031,BANK_STATEMENT,UPLOADED,0.796,0.265,True
APP200032,PAN,UPLOADED,0.996,0.0,True
APP200032,SALARY_SLIP,UPLOADED,0.97,0.033,True
APP200032,BANK_STATEMENT,UPLOADED,0.999,0.09,True
