application_id,device_reuse_count_30d,applications_last_7d,location_mismatch,bank_account_age_months,document_anomaly_score,income_mismatch_score,fraud_label
APP200000,1,0,0,30,0.001,0.11,0
APP200001,1,0,0,12,0.011,0.053,0
APP200002,1,1,0,33,0.035,0.135,0
APP200003,0,1,0,24,0.107,0.066,0
APP200004,0,2,0,28,0.057,0.043,0
APP200005,1,0,0,17,0.024,0.037,0
APP200006,0,0,0,25,0.104,0.101,0
APP200007,0,0,0,5,0.006,0.037,0
APP200008,0,0,1,25,0.07,0.044,0
APP200009,0,1,0,23,0.01,0.024,0
APP200010,0,0,0,11,0.047,0.007,0
APP200011,0,0,0,40,0.003,0.119,0
APP200012,0,0,0,10,0.075,0.024,0
APP200013,0,0,0,24,0.005,0.023,0
APP200014,0,2,0,18,0.027,0.079,0
APP200015,1,0,0,80,0.024,0.099,0
APP200016,1,0,0,7,0.025,0.064,0
APP200017,1,0,0,16,0.15,0.057,0
APP200018,1,0,0,3,0.262,0.018,0
APP200019,0,2,0,24,0.009,0.014,0
APP200020,0,0,0,18,0.162,0.056,0
APP200021,2,0,0,39,0.0,0.171,1
APP200022,1,0,0,26,0.022,0.147,0
APP200023,0,0,0,22,0.086,0.001,0
APP200024,0,0,0,15,0.006,0.068,0
APP200025,1,0,0,17,0.003,0.057,0
APP200026,2,1,0,11,0.003,0.114,0
APP200027,1,0,0,73,0.001,0.364,0
APP200028,0,0,0,24,0.011,0.06,0
APP200029,0,1,0,17,0.036,0.002,0
APP200030,1,1,0,23,0.091,0.199,0
APP200031,1,0,1,13,0.004,0.142,1
APP200032,1,1,0,19,0.027,0.164,0
APP200033,1,0,0,30,0.037,0.061,0
APP200034,0,0,0,13,0.046,0.006,0
APP200035,0,1,0,25,0.076,0.06,0
APP200036,1,1,0,30,0.1,0.009,0
APP200037,0,1,0,2,0.019,0.193,0
APP200038,1,0,0,15,0.003,0.022,0
APP200039,0,0,0,15,0.064,0.059,0
APP200040,0,0,0,27,0.022,0.236,0
APP200041,0,0,0,15,0.034,0.085,0
APP200042,0,2,0,22,0.071,0.018,0
APP200043,0,0,0,49,0.004,0.038,0
APP200044,0,0,0,24,0.015,0.066,0
APP200045,1,1,0,31,0.037,0.155,0
APP200046,1,1,0,17,0.076,0.127,0
APP200047,0,0,0,21,0.005,0.081,0
APP200048,0,0,0,16,0.005,0.047,0
APP200049,1,0,0,18,0.091,0.009,0
APP200050,2,0,0,22,0.062,0.19,0
APP200051,0,0,0,18,0.106,0.071,0
APP200052,2,1,0,37,0.01,0.132,0
APP200053,2,0,0,12,0.009,0.052,0
APP200054,1,1,0,8,0.035,0.26,0
APP200055,0,0,0,39,0.009,0.171,0
APP200056,0,3,0,10,0.158,0.031,0
APP200057,0,0,0,11,0.035,0.055,0
APP200058,0,0,0,16,0.009,0.045,0
APP200059,2,1,0,17,0.029,0.061,0
APP200060,0,1,0,11,0.052,0.089,0
APP200061,0,0,0,33,0.03,0.114,0
APP200062,1,1,0,42,0.009,0.026,0
APP200063,0,3,0,16,0.038,0.01,0
APP200064,0,0,0,20,0.144,0.122,0
APP200065,0,1,0,15,0.045,0.046,0
APP200066,0,1,0,34,0.035,0.121,0
APP200067,1,1,0,2,0.006,0.009,0
APP200068,1,0,0,29,0.129,0.305,0
APP200069,0,0,0,24,0.027,0.018,0
APP200070,0,0,0,12,0.005,0.214,1
APP200071,0,0,0,8,0.0,0.056,0
APP200072,0,1,0,11,0.039,0.039,0
APP200073,0,1,0,13,0.038,0.088,0
APP200074,0,0,0,32,0.15,0.104,0
APP200075,0,1,0,23,0.029,0.062,0
APP200076,0,0,0,29,0.029,0.164,0
APP200077,0,2,0,34,0.008,0.156,0
APP200078,0,1,0,31,0.043,0.033,0
APP200079,0,0,0,10,0.059,0.075,0
APP200080,0,0,0,14,0.021,0.136,0
APP200081,0,0,0,11,0.142,0.095,0
APP200082,1,0,0,57,0.032,0.129,1
APP200083,0,1,0,32,0.039,0.053,0
APP200084,0,0,0,13,0.023,0.054,0
APP200085,0,0,0,59,0.014,0.182,0
APP200086,1,0,0,34,0.0,0.016,0
APP200087,0,0,0,7,0.014,0.193,0
APP200088,1,1,0,31,0.055,0.218,0
APP200089,1,0,0,25,0.084,0.01,0
APP200090,0,0,0,21,0.005,0.16,0
APP200091,2,1,0,16,0.035,0.058,0
APP200092,0,0,1,29,0.055,0.189,0
APP200093,0,0,0,27,0.043,0.06,0
APP200094,0,3,0,6,0.005,0.197,0
APP200095,0,0,0,11,0.041,0.02,0
APP200096,1,1,0,47,0.062,0.005,0
APP200097,0,1,0,33,0.02,0.044,0
APP200098,0,0,1,21,0.012,0.113,0
APP200099,0,0,0,24,0.043,0.118,0
APP200100,0,1,0,6,0.019,0.035,0
APP200101,0,1,0,20,0.01,0.034,0
APP200102,0,0,0,17,0.034,0.121,0
APP200103,1,1,0,18,0.14,0.195,0
APP200104,0,0,0,28,0.054,0.008,0
APP200105,0,0,0,32,0.01,0.203,0
APP200106,1,1,0,23,0.1,0.025,0
APP200107,0,0,0,9,0.051,0.196,0
APP200108,0,1,0,70,0.014,0.126,0
APP200109,1,0,0,13,0.001,0.157,0
APP200110,1,0,0,16,0.01,0.053,0
APP200111,1,0,0,43,0.0,0.1,0
APP200112,0,0,0,37,0.008,0.134,0
APP200113,0,3,0,18,0.126,0.049,0
APP200114,0,0,0,28,0.05,0.004,0
APP200115,0,0,0,6,0.007,0.037,0
APP200116,1,0,0,25,0.043,0.063,0
APP200117,0,0,0,49,0.09,0.091,0
APP200118,1,0,0,35,0.247,0.249,0
APP200119,1,0,0,43,0.078,0.034,0
APP200120,1,0,0,5,0.007,0.028,0
APP200121,0,0,0,50,0.08,0.104,0
APP200122,0,1,0,9,0.002,0.045,0
APP200123,0,0,0,15,0.018,0.086,0
APP200124,0,3,0,22,0.004,0.042,0
APP200125,1,0,0,22,0.046,0.304,0
APP200126,0,0,0,46,0.03,0.164,0
APP200127,0,0,0,25,0.032,0.044,0
APP200128,1,0,0,33,0.072,0.187,0
APP200129,1,0,0,11,0.005,0.135,0
APP200130,0,1,0,26,0.035,0.02,0
APP200131,0,0,0,17,0.159,0.013,0
APP200132,0,1,1,16,0.009,0.07,0
APP200133,0,0,0,9,0.004,0.17,0
APP200134,1,0,0,26,0.006,0.161,0
APP200135,0,1,0,27,0.02,0.196,0
APP200136,0,1,0,21,0.023,0.055,0
APP200137,0,0,0,53,0.216,0.072,0
APP200138,0,1,0,12,0.137,0.221,0
APP200139,1,0,0,39,0.022,0.137,0
APP200140,0,1,0,11,0.038,0.098,0
APP200141,1,0,0,16,0.025,0.035,0
APP200142,0,0,0,8,0.046,0.154,0
APP200143,0,0,0,11,0.024,0.061,0
APP200144,0,0,0,11,0.013,0.162,0
APP200145,0,0,0,31,0.036,0.104,0
APP200146,0,0,0,21,0.032,0.118,0
APP200147,1,0,0,17,0.061,0.139,0
APP200148,0,0,0,17,0.106,0.006,0
APP200149,0,0,0,42,0.099,0.121,0
APP200150,0,0,0,7,0.057,0.019,0
APP200151,1,3,0,4,0.023,0.085,0
APP200152,1,0,0,36,0.004,0.183,0
APP200153,0,0,0,23,0.064,0.105,0
APP200154,0,2,0,7,0.028,0.167,0
APP200155,1,0,0,33,0.001,0.126,0
APP200156,0,2,0,11,0.034,0.193,0
APP200157,0,0,0,20,0.092,0.024,0
APP200158,0,1,0,5,0.001,0.061,0
APP200159,1,0,0,23,0.004,0.153,0
APP200160,0,1,0,13,0.026,0.011,0
APP200161,1,0,0,24,0.007,0.047,1
APP200162,0,1,0,108,0.001,0.147,0
APP200163,0,0,0,32,0.115,0.034,0
APP200164,0,1,0,8,0.023,0.019,0
APP200165,1,2,0,27,0.046,0.207,0
