review_id,application_id,review_reason,agent_recommendation,underwriter_decision,override,decision_reason,status
REV300031,APP200031,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300082,APP200082,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300263,APP200263,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300285,APP200285,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300384,APP200384,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300455,APP200455,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV300494,APP200494,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300507,APP200507,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300645,APP200645,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300694,APP200694,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300775,APP200775,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300823,APP200823,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300824,APP200824,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300911,APP200911,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300918,APP200918,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300931,APP200931,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV300966,APP200966,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV300988,APP200988,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301005,APP201005,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301008,APP201008,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301113,APP201113,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301202,APP201202,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301253,APP201253,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301274,APP201274,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301481,APP201481,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301492,APP201492,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301518,APP201518,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301519,APP201519,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301522,APP201522,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301599,APP201599,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301643,APP201643,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301647,APP201647,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301706,APP201706,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301899,APP201899,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV301921,APP201921,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302077,APP202077,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV302148,APP202148,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302277,APP202277,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302285,APP202285,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302356,APP202356,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302402,APP202402,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302453,APP202453,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV302601,APP202601,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302603,APP202603,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302612,APP202612,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302630,APP202630,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302759,APP202759,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302775,APP202775,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302842,APP202842,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV302889,APP202889,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302969,APP202969,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302977,APP202977,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV302993,APP202993,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303031,APP203031,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303192,APP203192,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303244,APP203244,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303328,APP203328,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303355,APP203355,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303410,APP203410,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303515,APP203515,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303732,APP203732,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV303824,APP203824,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
