application_id,policy_version,policy_status,failed_rules
APP200000,PL_2026_V1,ELIGIBLE,
APP200001,PL_2026_V1,ELIGIBLE,
APP200002,PL_2026_V1,ELIGIBLE,
APP200003,PL_2026_V1,ELIGIBLE,
APP200004,PL_2026_V1,ELIGIBLE,
APP200005,PL_2026_V1,ELIGIBLE,
APP200006,PL_2026_V1,ELIGIBLE,
APP200007,PL_2026_V1,ELIGIBLE,
APP200008,PL_2026_V1,ELIGIBLE,
APP200009,PL_2026_V1,ELIGIBLE,
APP200010,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200011,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200012,PL_2026_V1,ELIGIBLE,
APP200013,PL_2026_V1,ELIGIBLE,
APP200014,PL_2026_V1,ELIGIBLE,
APP200015,PL_2026_V1,ELIGIBLE,
APP200016,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200017,PL_2026_V1,ELIGIBLE,
APP200018,PL_2026_V1,ELIGIBLE,
APP200019,PL_2026_V1,INELIGIBLE,MIN_INCOME|FOIR
APP200020,PL_2026_V1,ELIGIBLE,
APP200021,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200022,PL_2026_V1,ELIGIBLE,
APP200023,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200024,PL_2026_V1,ELIGIBLE,
APP200025,PL_2026_V1,INELIGIBLE,BUREAU_SCORE|EMPLOYMENT_TENURE
APP200026,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200027,PL_2026_V1,INELIGIBLE,BUREAU_SCORE|FOIR
APP200028,PL_2026_V1,ELIGIBLE,
APP200029,PL_2026_V1,ELIGIBLE,
APP200030,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200031,PL_2026_V1,ELIGIBLE,
APP200032,PL_2026_V1,ELIGIBLE,
APP200033,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200034,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200035,PL_2026_V1,ELIGIBLE,
APP200036,PL_2026_V1,ELIGIBLE,
APP200037,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200038,PL_2026_V1,ELIGIBLE,
APP200039,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200040,PL_2026_V1,ELIGIBLE,
APP200041,PL_2026_V1,ELIGIBLE,
APP200042,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200043,PL_2026_V1,ELIGIBLE,
APP200044,PL_2026_V1,ELIGIBLE,
APP200045,PL_2026_V1,ELIGIBLE,
APP200046,PL_2026_V1,INELIGIBLE,FOIR
APP200047,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200048,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200049,PL_2026_V1,ELIGIBLE,
APP200050,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200051,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200052,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200053,PL_2026_V1,ELIGIBLE,
APP200054,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200055,PL_2026_V1,ELIGIBLE,
APP200056,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200057,PL_2026_V1,ELIGIBLE,
APP200058,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
