customer_id,avg_monthly_credits,salary_consistency,cash_withdrawal_ratio,monthly_transaction_count
CUS100000,56800,0.917,0.126,16
CUS100001,120400,0.825,0.09,18
CUS100002,81100,0.79,0.103,11
CUS100003,57700,0.861,0.086,22
CUS100004,101500,0.862,0.41,24
CUS100005,63100,0.864,0.281,9
CUS100006,91800,0.927,0.017,14
CUS100007,74000,0.82,0.054,26
CUS100008,76700,0.924,0.196,12
CUS100009,143300,0.922,0.062,16
CUS100010,29800,0.93,0.122,24
CUS100011,121600,0.866,0.081,12
CUS100012,114200,0.99,0.023,15
CUS100013,75400,0.906,0.127,15
CUS100014,145000,0.915,0.319,18
CUS100015,61800,1.0,0.202,19
CUS100016,64900,0.901,0.207,19
CUS100017,59400,0.97,0.114,22
CUS100018,124300,0.882,0.149,19
CUS100019,39600,0.825,0.048,22
CUS100020,177700,0.955,0.092,13
CUS100021,79900,0.875,0.177,20
CUS100022,108500,0.951,0.227,21
CUS100023,113300,0.91,0.06,15
CUS100024,92400,1.0,0.125,18
CUS100025,69300,0.975,0.052,17
CUS100026,144100,0.868,0.161,14
CUS100027,64300,0.921,0.059,10
CUS100028,69400,0.976,0.129,16
CUS100029,121400,0.873,0.14,14
CUS100030,100600,0.937,0.042,18
CUS100031,157700,1.0,0.149,19
CUS100032,79700,1.0,0.081,18
CUS100033,61000,0.991,0.091,24
CUS100034,103400,0.874,0.184,16
CUS100035,76400,0.894,0.01,15
CUS100036,71100,1.0,0.255,14
CUS100037,137500,0.844,0.116,19
CUS100038,201600,0.969,0.059,18
CUS100039,85900,0.948,0.194,22
CUS100040,54100,1.0,0.015,21
CUS100041,80100,0.929,0.171,15
CUS100042,122100,0.868,0.125,20
CUS100043,98100,0.796,0.168,19
CUS100044,141300,0.913,0.182,13
CUS100045,105600,0.845,0.043,18
CUS100046,57900,0.873,0.424,15
CUS100047,65300,1.0,0.127,17
CUS100048,43300,0.798,0.092,10
CUS100049,154400,0.932,0.021,21
CUS100050,36700,0.893,0.2,13
CUS100051,43000,0.778,0.162,21
CUS100052,69900,0.899,0.028,19
CUS100053,125800,0.813,0.3,22
CUS100054,60400,0.992,0.204,15
CUS100055,81900,0.853,0.025,15
CUS100056,69800,0.983,0.039,21
CUS100057,96500,0.963,0.134,19
CUS100058,45200,0.795,0.023,14
